query,recommended artists,all tags
old man blues,"Muddy Waters, Lightnin' Hopkins, Howlin' Wolf, Sonny Terry, Brownie McGhee","Synthetic, ULM 24B"
punk rock,"Green Day, the Sex Pistols, Nirvana, Bikini Kill, Patti Smith","Synthetic, ULM 24B"
good music to study to,"Iration, Explosions in the Sky, Nujabes, Shpongle, Aphex Twin","Synthetic, ULM 24B"
instrumental rock music,"Porcupine Tree, Mogwai, Explosions in the Sky, Sigur Ros, God Is An Astronaut","Synthetic, ULM 24B"
classical music that doesn't sound like classical music,"Johann Johannsson, Ludovico Einaudi, Hans Zimmer, Philip Glass, Max Richter","Synthetic, ULM 24B"
female rappers that can rap,"Missy Elliott, Remy Ma, Azealia Banks, Nicki Minaj, Queen Latifah","Synthetic, ULM 24B"
weird experimental music,"Sunn O))), Boards of Canada, Death Grips, Godspeed You Black Emperor, Björk","Synthetic, ULM 24B"
songs about drugs,"The Notorious B.I.G., Rick Ross, Snoop Dogg, Redman, Wiz Khalifa","Synthetic, ULM 24B"
pop electronica,"Depeche Mode, Deadmau5, Owl City, The Knife, Crystal Castles","Synthetic, ULM 24B"
electronic music to listen to while doing homework,"Bonobo, Bonobo, Four Tet, Four Tet, Four Tet","Synthetic, ULM 24B"
rock n roll,"The Beatles, The Rolling Stones, Led Zeppelin, The Doors, Pink Floyd","Synthetic, ULM 24B"
country music,"George Strait, Alan Jackson, Johnny Cash, George Jones, Willie Nelson","Synthetic, ULM 24B"
ambient music,"Brian Eno, Steve Roach, Harold Budd, The KLF, Aphex Twin","Synthetic, ULM 24B"
gothic metal,"Type O Negative, HIM, Cradle of Filth, The 69 Eyes, Nightwish","Synthetic, ULM 24B"
free jazz,"Albert Ayler, Pharoah Sanders, Peter Brotzmann, Cecil Taylor, Roscoe Mitchell","Synthetic, ULM 24B"
pop-inspired classical music,"Evanescence, Annie Lennox, Yoko Kanno, Sarah Brightman, The Knife","Synthetic, ULM 24B"
music that sounds like a horror movie soundtrack,"John Carpenter, The Haxan Cloak, Clint Mansell, Boards of Canada","Synthetic, ULM 24B"
spooky music,"Michael Giacchino, John Williams, Danny Elfman, Hans Zimmer, Bernard Herrmann","Synthetic, ULM 24B"
country,"Taylor Swift, Dolly Parton, Miranda Lambert, George Strait, John Denver","Synthetic, ULM 24B"
music with a retro feel,"Vance Joy, Tame Impala, The Shins, Phoenix, Vampire Weekend","Synthetic, ULM 24B"
rock n' roll,"Chuck Berry, Elvis Presley, Led Zeppelin, The Rolling Stones, Kiss","Synthetic, ULM 24B"
modern bluegrass/folk,"Mumford & Sons, The Avett Brothers, Punch Brothers, Old Crow Medicine Show","Synthetic, ULM 24B"
good movie music,"Howard Shore, Hans Zimmer, John Williams, Ennio Morricone, Danny Elfman","Synthetic, ULM 24B"
classical music but not boring,"Johann Sebastian Bach, Ludwig van Beethoven, Wolfgang Amadeus Mozart, Franz Joseph Haydn, Richard Wagner","Synthetic, ULM 24B"
heavy metal (melodic),"Megadeth, Death, Dream Theater, Protest the Hero","Synthetic, ULM 24B"
alternative rock bands,"Neutral Milk Hotel, Radiohead, Of Montreal, Bright Eyes, Modest Mouse","Synthetic, ULM 24B"
the music of dreams,"Slowdive, Cocteau Twins, My Bloody Valentine, Brian Eno, Sigur Rós","Synthetic, ULM 24B"
music for the club,"Avicii, Tiësto, Daft Punk, David Guetta, Deadmau5","Synthetic, ULM 24B"
female vocalists,"Björk, Joanna Newsom, Fiona Apple, Patti Smith, Bjork","Synthetic, ULM 24B"
music that you sing along to,"Queen, Kanye West, Beyoncé, Taylor Swift, Ed Sheeran","Synthetic, ULM 24B"
punk music for old people,"The Clash, X, Black Flag, Dead Kennedys, Bad Brains","Synthetic, ULM 24B"
music in English and Spanish,"Cypress Hill, Selena, Santana, Shakira, Julieta Venegas","Synthetic, ULM 24B"
jazz piano,"Bill Evans, Herbie Hancock, Oscar Peterson, Keith Jarrett, George Shearing","Synthetic, ULM 24B"
folk music,"Bob Dylan, The Byrds, Joni Mitchell, The Band, Neil Young","Synthetic, ULM 24B"
ambient electronic,"Aphex Twin, Boards of Canada, Brian Eno, Flying Lotus, Four Tet","Synthetic, ULM 24B"
jazz standards,"Louis Armstrong, Ella Fitzgerald, Billie Holiday, Nat King Cole, Sarah Vaughan","Synthetic, ULM 24B"
ambient music,"Brian Eno, Harold Budd, Steve Roach, Stars of the Lid, William Basinski","Synthetic, ULM 24B"
electronica,"Chemical Brothers, Aphex Twin, Jean Michel Jarre, Daft Punk, Underworld","Synthetic, ULM 24B"
opera singers,"Maria Callas, Luciano Pavarotti, Enrico Caruso","Synthetic, ULM 24B"
orchestra instruments,"Antonio Vivaldi, Johann Sebastian Bach, Georges Bizet, Edvard Grieg, Ludwig van Beethoven","Synthetic, ULM 24B"
jazz music without instruments,"Ryuichi Sakamoto, Brian Eno, David Byrne, Max Richter, Ryuichi Sakamoto","Synthetic, ULM 24B"
new wave music,"Joy Division, New Order, Talking Heads, The Smiths, Depeche Mode","Synthetic, ULM 24B"
easy listening funk,"Charles Mingus, Miles Davis, Herbie Hancock, Stevie Wonder, Quincy Jones","Synthetic, ULM 24B"
hip hop without swear words,"Dead Prez, Jurassic 5, Blackalicious, Digable Planets, A Tribe Called Quest","Synthetic, ULM 24B"
dance music with saxophone​s,"Fatboy Slim, Jamie Lidell, Caribou, Basement Jaxx, Herbie Hancock","Synthetic, ULM 24B"
electronic​ music without​ words,"Aphex Twin, Four Tet, Jon Hopkins, Flying Lotus, Bonobo","Synthetic, ULM 24B"
music that sounds like it's from another century,"Sufjan Stevens, Beirut, Antony & the Johnsons, Bon Iver, Arcade Fire","Synthetic, ULM 24B"
electronic music with a good beat,"Despacio, Burial, Massive Attack, Hot Chip, M83","Synthetic, ULM 24B"
indie rock that isn't pretentious,"Built to Spill, The Strokes, Modest Mouse, Interpol, The Mars Volta","Synthetic, ULM 24B"
music that isn't derivative,"LCD Soundsystem, James Murphy, Daft Punk, Justice","Synthetic, ULM 24B"
acoustic​ rock,"Fleet Foxes, Mumford & Sons, The Head and the Heart, The Lumineers, The National","Synthetic, ULM 24B"
post-rock,"Godspeed You! Black Emperor, Sigur Rós, Mogwai, Explosions in the Sky, Mono","Synthetic, ULM 24B"
oldies not by the Beatles,"Otis Redding, The Rolling Stones, Van Morrison, The Beach Boys, The Byrds","Synthetic, ULM 24B"
electronic rock bands,"Justice, Daft Punk, Chromeo, Simian Mobile Disco, MGMT","Synthetic, ULM 24B"
electronic music that isn't cheesy,"Aphex Twin, Björk, Goldfrapp, The Knife, Autechre","Synthetic, ULM 24B"
new wave,"New Order, The Smiths, Talking Heads, The Pixies, Blondie","Synthetic, ULM 24B"
old timey instruments,"The Crooked Jades, Carolina Chocolate Drops, Mumford & Sons, The Unwomanly Face of War, The Pogues","Synthetic, ULM 24B"
steampunk music,"The Crüxshadows, The Dresden Dolls, Abney Park, Emilie Autumn, Voltaire","Synthetic, ULM 24B"
classical music,"Johann Sebastian Bach, Ludwig van Beethoven, Wolfgang Amadeus Mozart, George Frideric Handel, Franz Joseph Haydn","Synthetic, ULM 24B"
classical piano,"Fryderyk Chopin, Franz Liszt, Franz Schubert, Sergei Rachmaninoff","Synthetic, ULM 24B"
music to study to,"Emancipator, Explosions in the Sky, Ratatat, Bonobo, Massive Attack","Synthetic, ULM 24B"
chillwave,"Washed Out, Neon Indian, Toro Y Moi","Synthetic, ULM 24B"
metal,"Metallica, Slipknot, Iron Maiden, Judas Priest, Slayer","Synthetic, ULM 24B"
classical rock,"The Beatles, Elton John, Pink Floyd, Queen, David Bowie","Synthetic, ULM 24B"
instrumental music,"Kronos Quartet, Rodrigo y Gabriela, Yo-Yo Ma, Explosions in the Sky, Mogwai","Synthetic, ULM 24B"
indie rock,"The Postal Service, Built to Spill, The Shins, Wilco, Spoon","Synthetic, ULM 24B"
hip hop music,"Public Enemy, Notorious B.I.G., OutKast, Nas, Eminem","Synthetic, ULM 24B"
good music from the late 70s,"Joy Division (UK), The Ramones (USA), Sex Pistols (UK), Talking Heads (USA), Joy Division (UK), The Ramones (USA)","Synthetic, ULM 24B"
classical music,"Chopin, Bach, Beethoven, Paganini, Bach","Synthetic, ULM 24B"
experimental music with a band,"Animal Collective, The Books, Grizzly Bear, Dan Deacon, Liars","Synthetic, ULM 24B"
pop music without a message,"Kimbra, Chvrches, Grimes, M83, Passion Pit","Synthetic, ULM 24B"
pop music for adults,"Regina Spektor, Rufus Wainwright, Feist, Beck, The Postal Service","Synthetic, ULM 24B"
music for a rainy day,"The xx, Lana Del Rey, Bon Iver, Iron & Wine, Elliott Smith","Synthetic, ULM 24B"
electro-synth-pop,"Depeche Mode, The Cure, The Smiths, New Order, Pet Shop Boys","Synthetic, ULM 24B"
instrumental music,"Bon Iver, Godspeed You! Black Emperor, Sigur Rós, Agalloch, Explosions in the Sky","Synthetic, ULM 24B"
classical music for a funeral,"Ludwig van Beethoven, Frédéric Chopin, George Frideric Handel, Wolfgang Amadeus Mozart, Johann Sebastian Bach","Synthetic, ULM 24B"
music that sounds like this,"The Beatles, Frank Sinatra, Stevie Wonder, The Beach Boys, The Doors","Synthetic, ULM 24B"
acoustic music,"James Blake, The Tallest Man on Earth, The National, Bon Iver, Sufjan Stevens","Synthetic, ULM 24B"
atonal music,"Iannis Xenakis, Helmut Lachenmann, Karlheinz Stockhausen, György Ligeti, Morton Feldman","Synthetic, ULM 24B"
a jazz artist to start​ with,"Miles Davis, Ahmad Jamal, Art Blakey, The Modern Jazz Quartet, John Coltrane","Synthetic, ULM 24B"
metal guitar riffs,"Metallica, Megadeth, Slayer, Motörhead, Anthrax","Synthetic, ULM 24B"
classical crossover,"Vanessa-Mae, Hilary Hahn, Lindsey Stirling","Synthetic, ULM 24B"
orchestral,"Handel, Bach, Mozart, Beethoven, Tchaikovsky","Synthetic, ULM 24B"
i want to get high,"The Beatles, The Doors, Bob Dylan, Pink Floyd, The Grateful Dead","Synthetic, ULM 24B"
instrumental trance,"ATB, Armin van Buuren, Above & Beyond, Ferry Corsten, Dash Berlin","Synthetic, ULM 24B"
music for studying,"Enya, Nujabes, Enigma, The Postal Service, Brian Eno","Synthetic, ULM 24B"
female fronted classic rock,"The Bangles, Heart, Pat Benatar, Bonnie Tyler, Joan Jett & The Blackhearts","Synthetic, ULM 24B"
oldies rock,"The Kinks, The Rolling Stones, The Beach Boys, The Who, The Yardbirds","Synthetic, ULM 24B"
opera that rocks,"Rhapsody in Rock, Led Zeppelin, Alice Cooper, Pink Floyd, AC/DC","Synthetic, ULM 24B"
singers with really low voices,"Leonard Cohen, Johnny Cash, Nina Simone, Billie Holiday, Nick Cave","Synthetic, ULM 24B"
indie folk,"Iron and Wine, The Fleet Foxes, Sufjan Stevens, Joanna Newsom","Synthetic, ULM 24B"
guitars and synthesizers,"Kraftwerk, The Buggles, Yello, Devo, Giorgio Moroder","Synthetic, ULM 24B"
indie rock with keyboards,"Hot Chip, Vampire Weekend, Arcade Fire, Phoenix, LCD Soundsystem","Synthetic, ULM 24B"
jazz vocals,"Julie London, Ella Fitzgerald, Billie Holiday, Nina Simone, Al Jarreau, Frank Sinatra","Synthetic, ULM 24B"
opera singers,"Luciano Pavarotti, Joan Sutherland, Maria Callas, Birgit Nilsson, Enrico Caruso","Synthetic, ULM 24B"
easy listening,"John Williams, Henry Mancini, Mantovani, Yanni, Enya","Synthetic, ULM 24B"
jazz vocalists,"Ella Fitzgerald, Billie Holiday, Nina Simone, Peggy Lee, Nancy Wilson","Synthetic, ULM 24B"
classical music that isn't overly epic,"Johann Sebastian Bach, Johann Strauss II, Wolfgang Amadeus Mozart, Franz Peter Schubert, Gabriel Fauré","Synthetic, ULM 24B"
music with a lot of layers,"Bon Iver, Radiohead, Sigur Rós, Sufjan Stevens, Animal Collective","Synthetic, ULM 24B"
indie music,"The Arcade Fire, Death Cab for Cutie, Franz Ferdinand, The Magnetic Fields, The Shins","Synthetic, ULM 24B"
instrumental rock,"Godspeed You! Black Emperor, Mogwai, Explosions In The Sky, Do Make Say Think, Godspeed You Black Emperor","Synthetic, ULM 24B"
hip hop for people who don't like hip hop,"Deltron 3030, MF Doom","Synthetic, ULM 24B"
classic rap,"LL Cool J, Big Daddy Kane, Rakim, Ice Cube, Dr. Dre","Synthetic, ULM 24B"
pop that's not bubblegum,"La Roux, Chromeo, LCD Soundsystem, Two Door Cinema Club, Vampire Weekend","Synthetic, ULM 24B"
chilled out house music,"James Blake, Burial, Four Tet, Flying Lotus, Tycho","Synthetic, ULM 24B"
music that makes you want to run,"Kanye West, Rage Against the Machine, Run the Jewels, Eminem, Dr. Dre","Synthetic, ULM 24B"
darkwave,"Type O Negative, AFI, Depeche Mode, The Cure, Nine Inch Nails","Synthetic, ULM 24B"
classical music that sounds like a horror movie,"Franz Liszt, Sergei Rachmaninoff, Claude Debussy, Hector Berlioz, Pjotr Tschaikowsky","Synthetic, ULM 24B"
ambient music,"Brian Eno, Stars of the Lid, William Basinski, Aphex Twin, Steve Roach","Synthetic, ULM 24B"
classical music that isn't intimidating,"Jóhann Jóhannsson, Nils Frahm, Philip Glass, Yann Tiersen, Nils Wülker","Synthetic, ULM 24B"
spooky music,"Miles Davis, King Crimson, Pink Floyd, Led Zeppelin","Synthetic, ULM 24B"
"good, modern music","The Knife, The XX, Burial, Moderat, SBTRKT","Synthetic, ULM 24B"
the best folk music,"Joan Baez, Bob Dylan, Woody Guthrie, Bob Marley, The Avett Brothers","Synthetic, ULM 24B"
indie rock,"Modest Mouse, The Decemberists, Band of Horses, Wilco, The Strokes","Synthetic, ULM 24B"
female-fronted rock music,"Veruca Salt, Hole, L7, The Donnas, The Breeders","Synthetic, ULM 24B"
dark and brooding music,"Pink Floyd, Radiohead, Joy Division, Joy Division, Joy Division","Synthetic, ULM 24B"
songs that tell a story,"The Mountain Goats, Johnny Hobo and the Freight Trains, The Oh Hellos, The Builders & The Butchers, The Mountain Goats","Synthetic, ULM 24B"
singer songwryers,"Ben Folds Five, David Gray, Tori Amos, Regina Spektor, The Tallest Man on Earth","Synthetic, ULM 24B"
music that makes you happy​,"Odesza, The Beatles, The Beach Boys, Coldplay, The Lumineers","Synthetic, ULM 24B"
piano-heavy bands,"Mumford & Sons, Fleet Foxes, Sigur Ros, Keane, Snow Patrol","Synthetic, ULM 24B"
music that calms you down,"Bon Iver, The National, The Smiths, Radiohead, Beck","Synthetic, ULM 24B"
classic rock,"Led Zeppelin, Pink Floyd, The Who, The Beatles, Jimi Hendrix","Synthetic, ULM 24B"
rock songs with banjo,"Old Crow Medicine Show, The Devil Makes Three, Shovels & Rope, Mumford & Sons, The Carolina Chocolate Drops","Synthetic, ULM 24B"
rockabilly,"Johnny Cash, Carl Perkins, The Stray Cats, Elvis Presley, Roy Orbison","Synthetic, ULM 24B"
smooth jazz,"George Benson, David Sanborn, Grover Washington, Jr, Kenny G, Bobby Caldwell","Synthetic, ULM 24B"
blues that is not too harsh,"Elmore James, John Lee Hooker, Little Walter, Lightnin' Hopkins, Taj Mahal","Synthetic, ULM 24B"
classic rock that isn't overplayed,"Led Zeppelin, The Who, Fleetwood Mac, The Doors, Lynyrd Skynyrd","Synthetic, ULM 24B"
rock from the heart with big guitars,"Aerosmith, Boston, Queen, Styx, AC/DC","Synthetic, ULM 24B"
the stuff they play over intercoms to make you feel happy,"Enya, Enya, Enya, Enya, Enya, Enya, Enya","Synthetic, ULM 24B"
punk/indie rock,"Radiohead, The Pixies, Nirvana, The Smiths, Arctic Monkeys","Synthetic, ULM 24B"
hard dance,"Hardknox, Infected Mushroom, Scooter, Basshunter, Angerfist","Synthetic, ULM 24B"
smooth jazz music,"David Sanborn, Grover, Hancock, Dave Grusin, George Winston","Synthetic, ULM 24B"
rock for kids,"Foo Fighters, Maroon 5, Coldplay, Green Day, Foster the People","Synthetic, ULM 24B"
smooth radio,"Norah Jones, Al Green, Maxwell, Adele, Amy Winehouse","Synthetic, ULM 24B"
guitar legends,"Hendrix, Stevie Ray Vaughan, Jeff Beck, John Mayer, Jimmy Page","Synthetic, ULM 24B"
country music,"Waylon Jennings, Johnny Cash, Toby Keith, Willie Nelson, Brooks & Dunn","Synthetic, ULM 24B"
heavy metal,"Iron Maiden, Judas Priest, Saxon, Black Sabbath, Megadeth","Synthetic, ULM 24B"
electronic folk,"Aphex Twin, Four Tet, Boards of Canada, Animal Collective, Sigur Ros","Synthetic, ULM 24B"
female vocalists,"Janis Joplin, Adele, Alanis Morissette, Christina Aguilera","Synthetic, ULM 24B"
music that sounds like a video game soundtrack,"David Wise, Koji Kondo, Yasunori Mitsuda, Toby Fox, Super Bros. 9, 8 Bit Operators","Synthetic, ULM 24B"
electronic music that's not techno,"Four Tet, Aphex Twin, Squarepusher, Jon Hopkins","Synthetic, ULM 24B"
music for sex,"The xx, The XX, D'Angelo, D'angelo, Sade","Synthetic, ULM 24B"
acoustic music,"The Microphones, Bon Iver, Fleet Foxes, Sigur Rós, Iron & Wine","Synthetic, ULM 24B"
indie rock bands,"Neutral Milk Hotel, The Microphones, The Mountain Goats, Bright Eyes, Sufjan Stevens","Synthetic, ULM 24B"
indie 'folk' music,"Fleet Foxes, The Mountain Goats, Bon Iver, Okkervil River, Sufjan Stevens","Synthetic, ULM 24B"
acoustic folk rock,"Fleet Foxes, Bon Iver, Band of Horses, My Morning Jacket, Neutral Milk Hotel","Synthetic, ULM 24B"
the perfect morning playlist,"James Bay, James Blake, James Vincent McMorrow, Jamie xx, Jon Brion","Synthetic, ULM 24B"
classical/piano,"George Frideric Handel, Frederic Chopin, Wolfgang Amadeus Mozart, Johann Sebastian Bach, Frédéric François Chopin","Synthetic, ULM 24B"
dark ambient,"Aphex Twin, Burial, Grouper, Lustmord, Tim Hecker","Synthetic, ULM 24B"
jazzy pop,"Frank Sinatra, Louis Prima, Ella Fitzgerald, Billie Holiday, Nat King Cole","Synthetic, ULM 24B"
music in a minor key,"Metallica, Megadeth, Avenged Sevenfold, Apocalyptica, Blind Guardian","Synthetic, ULM 24B"
classical guitar,"Isaac Albéniz, Francisco Tárrega, Andrés Segovia, Antonio Lauro, Heitor Villa-Lobos","Synthetic, ULM 24B"
musicology,"György Ligeti, Steve Reich, Karlheinz Stockhausen, Krzysztof Penderecki, Terry Riley","Synthetic, ULM 24B"
classical guitar music,"Antonio Vivaldi, Andres Segovia, John Williams, Fernando Sor, Johann Sebastian Bach","Synthetic, ULM 24B"
music to work to,"Pink Floyd, Massive Attack, The Cinematic Orchestra, Thievery Corporation, The Album Leaf","Synthetic, ULM 24B"
jazz in the 1920s,"Duke Ellington, Louis Armstrong, Earl Hines, Django Reinhardt, Billie Holiday","Synthetic, ULM 24B"
classical music that sounds like a movie,"Ennio Morricone, Erich Korngold","Synthetic, ULM 24B"
acoustic songs,"Bon Iver, Damien Rice, Regina Spektor, Iron & Wine","Synthetic, ULM 24B"
free jazz,"Cecil Taylor, John Coltrane, Ornette Coleman","Synthetic, ULM 24B"
bluegrass for beginners,"Doc Watson, Ricky Skaggs, Earl Scruggs, Peter Rowan, Tony Rice","Synthetic, ULM 24B"
jazz piano,"Bill Evans, Thelonious Monk, Chick Corea, Oscar Peterson, Keith Jarrett","Synthetic, ULM 24B"
good music for working out,"Queen, Led Zeppelin, Black Sabbath, AC/DC, Judas Priest","Synthetic, ULM 24B"
good classical music,"Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven, Pyotr Ilyich Tchaikovsky, Antonio Vivaldi","Synthetic, ULM 24B"
rock & roll,"Mötley Crüe, Kiss, Ozzy Osbourne, Def Leppard, Bon Jovi","Synthetic, ULM 24B"
new age music for relaxation,"Enya, Enigma, Deep Forest, Yanni, Vangelis","Synthetic, ULM 24B"
classical organ music,"Bach, Dietrich Buxtehude, Johann Sebastian Bach, Georg Muffat, Dieterich Buxtehude","Synthetic, ULM 24B"
streaming classical music,"Johann Sebastian Bach, Ludwig van Beethoven, Wolfgang Amadeus Mozart, Claudio Monteverdi, Johann Pachelbel","Synthetic, ULM 24B"
jazz-funk,"Kool & The Gang, Earth, Wind & Fire, Average White Band, Sly & The Family Stone, Parliament-Funkadelic","Synthetic, ULM 24B"
streaming classical music,"Sergei Rachmaninoff, Johann Sebastian Bach, Ludwig van Beethoven, Johannes Brahms, Nikolai Rimsky-Korsakov","Synthetic, ULM 24B"
electro-swing music,"Caravan Palace, Tape Five, Parov Stelar","Synthetic, ULM 24B"
classical guitar,"Andrés Segovia, Christopher Parkening, Christopher O'Riley, Julian Bream, Pepe Romero","Synthetic, ULM 24B"
jazz vocal,"Nina Simone, Billie Holiday, Abbey Lincoln, Sarah Vaughan, Ella Fitzgerald","Synthetic, ULM 24B"
classic synth,"Jean-Michel Jarre, Vangelis, Kraftwerk, Tangerine Dream, Giorgio Moroder","Synthetic, ULM 24B"
post-rock,"Explosions in the Sky, God Is an Astronaut, Mogwai, Godspeed You! Black Emperor, This Will Destroy You","Synthetic, ULM 24B"
jazz vocalists,"Sarah Vaughan, Ella Fitzgerald, Billie Holiday, Nina Simone, Chet Baker","Synthetic, ULM 24B"
opera,"Claudio Monteverdi, Christoph Willibald Gluck, Gioachino Rossini, Giuseppe Verdi, Richard Wagner","Synthetic, ULM 24B"
classical music for children,"Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Joseph Haydn, Johann Nepomuk Hummel, Niccolò Paganini","Synthetic, ULM 24B"
folk music,"Bob Dylan, Simon & Garfunkel, Johnny Cash, The Beatles, Queen","Synthetic, ULM 24B"
music to listen to while high,"Pink Floyd, Jimi Hendrix, The Grateful Dead, The Beatles, The Rolling Stones","Synthetic, ULM 24B"
music for an italian restaurant,"Ennio Morricone, The Three Tenors, Andrea Bocelli, Luciano Pavarotti","Synthetic, ULM 24B"
music to help sleep,"Brian Eno, Sigur Ros, Brian Inouye, Thomas Newman, Brian McLaren","Synthetic, ULM 24B"
alternative rock,"Blondie, Patti Smith, New Order, Pixies, The Cure","Synthetic, ULM 24B"
jazz-infused indie rock,"Portishead, The Bad Plus, The Cinematic Orchestra, Dirty Projectors, Nightmares on Wax","Synthetic, ULM 24B"
"folk music, not that stuff we listened to in our teens​","The Avett Brothers, Iron & Wine, Bon Iver, Fleet Foxes, Sufjan Stevens","Synthetic, ULM 24B"
jazz​,"Thelonious Monk, Art Blakey, John Coltrane, Weather Report, The Jazz Crusaders","Synthetic, ULM 24B"
piano- and keyboard-heavy ambient electronica,"Aphex Twin, Brian Eno, Tycho, Boards of Canada, Bonobo","Synthetic, ULM 24B"
female-fronted bands,"Sleigh Bells, The Breeders, Wolf Alice, The Knife, St. Vincent","Synthetic, ULM 24B"
weird and wonderful music,"Patti Smith, Animal Collective, Aphex Twin, Frank Zappa","Synthetic, ULM 24B"
dark folk music,"The Mountain Goats, The Shins, Sufjan Stevens, Okkervil River, Bon Iver","Synthetic, ULM 24B"
bands that sound a lot like each other,"The Strokes, Interpol, The White Stripes, The Hives","Synthetic, ULM 24B"
country singers,"Johnny Cash, Patsy Cline, Dolly Parton, Alan Jackson, Chris Stapleton","Synthetic, ULM 24B"
rock operas,"Queen, The Who, The Pretty Things, Pink Floyd, Genesis","Synthetic, ULM 24B"
folk music,"Simon & Garfunkel, Cat Stevens, John Denver, The Mamas & the Papas, Crosby Stills & Nash","Synthetic, ULM 24B"
1990s alternative music,"R.E.M., Depeche Mode, Nirvana, The Smashing Pumpkins, Pearl Jam","Synthetic, ULM 24B"
orchestral metal,"Epica, Nightwish, Van Halen, Rammstein, Kamelot","Synthetic, ULM 24B"
electronica,"Deadmau5, Wolfgang Gartner, Lady Gaga, Skrillex, Daft Punk","Synthetic, ULM 24B"
acoustic music with a strong female voice,"Norah Jones, Tori Amos, Cat Power, Feist","Synthetic, ULM 24B"
singers that sound like robots,"Kraftwerk, Portishead, Radiohead, Aphex Twin, Nine Inch Nails","Synthetic, ULM 24B"
music to listen to in the car,"Muse, Weezer, Franz Ferdinand, The Flaming Lips, My Chemical Romance","Synthetic, ULM 24B"
music for a bar mitzvah,"Benny Goodman, The Ink Spots, Dean Martin, Perry Como, The Andrews Sisters","Synthetic, ULM 24B"
music for a graduation ceremony,"Elton John, Billy Joel, John Denver, The Beatles, Bob Dylan","Synthetic, ULM 24B"
bands from the 2000s,"The Arctic Monkeys, The Strokes, Kings of Leon, Vampire Weekend, Mumford & Sons","Synthetic, ULM 24B"
indie rock bands,"Modest Mouse, The Shins, Arctic Monkeys, The Strokes, The Libertines","Synthetic, ULM 24B"
music to dance to,"Kraftwerk, The Cure, The B-52s, The Clash, The Specials","Synthetic, ULM 24B"
music to listen to when you want to be happy,"The Beach Boys, Stevie Wonder, The Monkees, The Zombies","Synthetic, ULM 24B"
piano music that moves you,"Chopin, Beethoven, Rachmaninoff, Brahms, Tchaikovsky","Synthetic, ULM 24B"
heavy metal,"Black Sabbath, Metallica, Iron Maiden, Judas Priest","Synthetic, ULM 24B"
orchestral music,"George Frideric Handel, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven","Synthetic, ULM 24B"
indie rock,"Modest Mouse, The Strokes, Death Cab for Cutie, Vampire Weekend","Synthetic, ULM 24B"
a cappella music,"Psapp, Bobby McFerrin, Straight No Chaser, The King's Singers, The Voca People","Synthetic, ULM 24B"
music to fall asleep to,"Brian Eno, Brian Eno, Brian Eno, Brian Eno, Brian Eno","Synthetic, ULM 24B"
popular orchestra,"Beethoven, Tchaikovsky, Rimsky-Korsakov, Mendelssohn, Brahms","Synthetic, ULM 24B"
instrumental,"Krzysztof Penderecki, Johann Sebastian Bach, Frank Zappa, Pink Floyd, The Beatles","Synthetic, ULM 24B"
jazz music,"Gerry Mulligan, Billie Holiday, Chick Corea, Dave Brubeck, Stan Getz","Synthetic, ULM 24B"
pop without synths,"The Beatles, The Kinks, Elvis Presley, Bob Dylan, James Brown","Synthetic, ULM 24B"
jazz but not too jazzy,"Ella Fitzgerald, Duke Ellington, Nat King Cole, Oscar Peterson, Vince Guaraldi Trio","Synthetic, ULM 24B"
rock instrumentals,"Pink Floyd, Radiohead, Rush, Emerson, Lake, & Palmer, The Who","Synthetic, ULM 24B"
electronic music that sounds like nature sounds,"Amon Tobin, DJ Food, Ulrich Schnauss, Tycho, Trentemøller","Synthetic, ULM 24B"
music that's not too fast,"The Beatles, Radiohead, Portishead, Beck, U2","Synthetic, ULM 24B"
good music with lots of horns,"Tower of Power, Chicago, David Sanborn, Blood Sweat & Tears, The Duke Ellington Orchestra","Synthetic, ULM 24B"
hip hop with a lot of jazz samples,"Madlib, Nujabes, Gang Starr, MF Doom","Synthetic, ULM 24B"
rock with a horn section,"Chicago, ELP, Boston, Santana, Umphrey's McGee","Synthetic, ULM 24B"
classic rock,"The Beatles, Led Zeppelin, Pink Floyd, The Who, David Bowie","Synthetic, ULM 24B"
classical music for piano,"Chopin, Beethoven, Bach, Rachmaninoff, Mozart","Synthetic, ULM 24B"
acoustic live music,"Neutral Milk Hotel, The Mountain Goats, Damien Rice, Elliott Smith, Nick Drake","Synthetic, ULM 24B"
dance music for a house party,"Justice, Daft Punk, Disclosure, Calvin Harris","Synthetic, ULM 24B"
music for roadtrips,"The Beatles, Bob Dylan, Stevie Wonder, Bob Marley, The Beach Boys","Synthetic, ULM 24B"
music for a rainy day,"Elliott Smith, The Microphones, Bon Iver, Mount Eerie, Sufjan Stevens","Synthetic, ULM 24B"
classic hip hop,"RUN-DMC, Beastie Boys, Public Enemy, Grandmaster Flash, Ice-T","Synthetic, ULM 24B"
songs about falling in love,"Bob Dylan, Billy Joel, George Harrison, Paul McCartney, John Mayer, Fleetwood Mac","Synthetic, ULM 24B"
electronic music,"Aphex Twin, Flying Lotus, Autechre, Bonobo, Daft Punk","Synthetic, ULM 24B"
